id,datetime,date,time,speaker,type,source_log,text
WA-0001,2025-11-05T21:06:09,2025-11-05,21:06:09,Derek ********,text,main,"‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them."
WA-0002,2025-11-05T21:06:09,2025-11-05,21:06:09,Derek ********,text,main,‎Derek is a contact.
WA-0003,2025-11-05T15:20:21,2025-11-05,15:20:21,Derek ********,text,main,Hey chica 👋
WA-0004,2025-11-05T23:11:56,2025-11-05,23:11:56,Derek ********,text,main,My security code with you changed?  🤔  ⏎ Did you get a new device?
WA-0005,2025-11-05T23:11:56,2025-11-05,23:11:56,Derek ********,text,main,LOL 😆
WA-0006,2025-11-05T23:11:56,2025-11-05,23:11:56,Derek ********,text,main,Never
WA-0007,2025-11-05T23:11:57,2025-11-05,23:11:57,Derek ********,text,main,Hello Miss Merry 👋
WA-0008,2025-11-05T23:11:57,2025-11-05,23:11:57,Derek ********,text,main,I've been sleeping
WA-0009,2025-11-05T23:11:57,2025-11-05,23:11:57,Derek ********,text,main,Mini-coma day
WA-0010,2025-11-05T23:11:57,2025-11-05,23:11:57,Derek ********,text,main,It's been overdue 😂
WA-0011,2025-11-05T23:11:57,2025-11-05,23:11:57,Derek ********,text,main,Fuck
WA-0012,2025-11-05T23:11:57,2025-11-05,23:11:57,Derek ********,text,main,No reception again??
WA-0013,2025-11-05T23:11:58,2025-11-05,23:11:58,Derek ********,text,main,Uvghhhhh&h&ggg
WA-0014,2025-11-05T23:11:58,2025-11-05,23:11:58,Derek ********,text,main,"Well, just wanted to say hi between naps ⏎ Hibernation is in the air"
WA-0015,2025-11-05T23:11:58,2025-11-05,23:11:58,Derek ********,text,main,I miss chatting with you
WA-0016,2025-11-05T23:11:58,2025-11-05,23:11:58,Derek ********,text,main,Your voice is much sweeter & nicer to me than my own voice is
WA-0017,2025-11-05T23:12:06,2025-11-05,23:12:06,Derek ********,text,main,"‎Advanced chat privacy was turned on. No one can auto-save media, export history, ask Meta AI questions, or summarize unread messages in this chat."
