id,datetime,date,time,speaker,type,source_log,text
WA-0703,2025-12-12T09:57:55,2025-12-12,09:57:55,Merry,text,main,Why won’t you just do the fucking thing for fuck sake fuck
WA-0704,2025-12-12T09:58:05,2025-12-12,09:58:05,Merry,text,main,But you’re not gonna
WA-0705,2025-12-12T09:58:06,2025-12-12,09:58:06,Merry,text,main,Ever
WA-0706,2025-12-12T09:58:08,2025-12-12,09:58:08,Merry,text,main,Bye derek
WA-0707,2025-12-12T09:58:10,2025-12-12,09:58:10,Merry,text,main,I love you
WA-0708,2025-12-12T09:58:50,2025-12-12,09:58:50,Merry,text,main,I’m here if you ever decide you miss me and do the thing
WA-0709,2025-12-12T09:59:05,2025-12-12,09:59:05,Merry,text,main,And if you dont- fuck you
WA-0710,2025-12-12T09:59:41,2025-12-12,09:59:41,Merry,text,main,Fuck you for fucking dragging me around for a year with no intention of ever doing what I need to be happy in it
WA-0711,2025-12-12T10:00:26,2025-12-12,10:00:26,Merry,text,main,I love you so much
WA-0712,2025-12-12T10:00:32,2025-12-12,10:00:32,Merry,text,main,And I’m still willing to do this
WA-0713,2025-12-12T10:00:37,2025-12-12,10:00:37,Merry,text,main,Bc it was that important to me
WA-0714,2025-12-12T10:00:45,2025-12-12,10:00:45,Merry,text,main,And you just never GOT that
WA-0715,2025-12-12T10:04:22,2025-12-12,10:04:22,Merry,text,main,Like you refused to believe this could be so important to me
WA-0716,2025-12-12T10:04:33,2025-12-12,10:04:33,Merry,text,main,Well guess what IT IS AND ALWAYS WAS this important to me
WA-0717,2025-12-12T10:04:36,2025-12-12,10:04:36,Merry,text,main,And you don’t CARE
WA-0718,2025-12-12T10:04:47,2025-12-12,10:04:47,Merry,text,main,fuck you
WA-0719,2025-12-12T10:10:09,2025-12-12,10:10:09,Merry,media/system,main,‎You deleted this message.
WA-0720,2025-12-12T10:10:30,2025-12-12,10:10:30,Merry,text,main,Fuck you for not caring that this was always a big huge deal to me
WA-0721,2025-12-12T10:11:12,2025-12-12,10:11:12,Merry,text,main,Fuck you for acting like IM RIDICULOUS for it
WA-0722,2025-12-12T10:14:16,2025-12-12,10:14:16,Merry,media/system,main,‎audio omitted
WA-0723,2025-12-12T10:16:08,2025-12-12,10:16:08,Merry,media/system,main,‎audio omitted
WA-0724,2025-12-12T10:17:03,2025-12-12,10:17:03,Merry,text,main,This
WA-0725,2025-12-12T10:17:50,2025-12-12,10:17:50,Merry,media/system,main,‎audio omitted
WA-0726,2025-12-12T10:18:32,2025-12-12,10:18:32,Merry,text,main,And this
WA-0727,2025-12-12T10:20:00,2025-12-12,10:20:00,Merry,media/system,main,‎audio omitted
WA-0728,2025-12-12T10:22:01,2025-12-12,10:22:01,Merry,media/system,main,‎audio omitted
WA-0729,2025-12-12T10:23:35,2025-12-12,10:23:35,Merry,media/system,main,‎audio omitted
WA-0730,2025-12-12T10:24:47,2025-12-12,10:24:47,Merry,media/system,main,‎audio omitted
WA-0731,2025-12-12T10:31:19,2025-12-12,10:31:19,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-0732,2025-12-12T10:32:38,2025-12-12,10:32:38,Merry,text,main,Listen to them ^^^ that’s real talk
WA-0733,2025-12-12T10:41:52,2025-12-12,10:41:52,Merry,text,main,"I just need you to tell me how can I say this shit in a way that DEREK will understand it because when I say it nicely, you don’t seem to think it’s a big deal so then when I get irritated and scream at you like a crazy person about it you seem to think that because I’m acting crazy. You shouldn’t have to deal with it. How do I say to you that this is a big deal to me and I need this in order to continue with this friendship and you actually understand and get the point how how DEREK"
WA-0734,2025-12-12T10:42:37,2025-12-12,10:42:37,Merry,text,main,How do I get you to understand that I am not joking I’m not playing this does not feel frivolous and stupid to me. This is a huge fucking deal to me and I will burn this shit to the ground over it. How do I make you understand that do you even care if I burn this shit to the ground.
WA-0735,2025-12-12T10:44:01,2025-12-12,10:44:01,Merry,text,main,"Also, I need you to somehow understand that I’m not fucking kindergarten in this whole game you play or if I don’t get my name written on the board for a week I get a prize fuck that shit I never end up getting a prize anyway anyways when I am good, so who gives a fuck"
WA-0736,2025-12-12T10:44:46,2025-12-12,10:44:46,Merry,text,main,"Like I said, when do I get to see you? You’re gonna say when it doesn’t feel like this well when it doesn’t feel like this every time I bring it up you’re gonna say it feels like this and I’ve ruined it. You just dangle the carrot in front of my face, knowing good well you’re never gonna give me the fucking carrot fuck off with your fucking carrot."
WA-0737,2025-12-12T11:13:35,2025-12-12,11:13:35,Merry,text,main,Is there a way I can make you understand and actually get it without just leaving? You tell me
WA-0738,2025-12-12T11:13:56,2025-12-12,11:13:56,Merry,text,main,Bc I hate this game it’s not fun for me
WA-0739,2025-12-12T11:14:17,2025-12-12,11:14:17,Merry,text,main,And I don’t wanna play it anymore if I don’t get a turn
WA-0740,2025-12-12T11:17:21,2025-12-12,11:17:21,Merry,text,main,I’ve been playing for a year thinking eventually I’ll get my “turn” and I don’t think I’m ever going to for real real so why keep playing
WA-0741,2025-12-12T11:17:49,2025-12-12,11:17:49,Merry,text,main,Bc I’m pretty sure if I keep playing for another year this time next year I’ll be twice as pissed off about the same shit
WA-0742,2025-12-12T11:20:13,2025-12-12,11:20:13,Merry,text,main,It has literally come down to IF U LOVE ME you will do this thing for me.
WA-0743,2025-12-12T11:20:22,2025-12-12,11:20:22,Merry,text,main,And if u will not I assume you do not love me
WA-0744,2025-12-12T11:20:30,2025-12-12,11:20:30,Merry,text,main,That’s the bottom line
WA-0745,2025-12-12T11:21:07,2025-12-12,11:21:07,Merry,text,main,I would literally do almost ANYTHING for you. Except wait any longer for you to keep a promise
WA-0746,2025-12-12T11:33:19,2025-12-12,11:33:19,Merry,text,main,Now keep acting like I’m the bad guy
WA-0747,2025-12-12T11:34:26,2025-12-12,11:34:26,Merry,text,main,All of your WOWS and surprised face responses are hilarious. How long did you think I’d let you jerk me around this
WA-0748,2025-12-12T11:34:44,2025-12-12,11:34:44,Merry,text,main,Ftr I feel that very same shock at the fact that you wouldn’t just go
WA-0749,2025-12-12T11:34:49,2025-12-12,11:34:49,Merry,media/system,main,‎video note omitted
WA-0750,2025-12-12T11:34:53,2025-12-12,11:34:53,Merry,text,main,But you won’t
WA-0751,2025-12-12T11:34:55,2025-12-12,11:34:55,Merry,text,main,Lol
WA-0752,2025-12-12T11:35:51,2025-12-12,11:35:51,Merry,media/system,main,‎video note omitted
WA-0753,2025-12-12T11:36:37,2025-12-12,11:36:37,Merry,text,main,This
WA-0754,2025-12-12T11:36:41,2025-12-12,11:36:41,Merry,text,main,This
