id,datetime,date,time,speaker,type,source_log,text
WA-1163,2025-12-31T17:12:11,2025-12-31,17:12:11,Merry,text,main,https://www.tiktok.com/t/ZP8ygpjN7/
WA-1164,2025-12-31T18:26:35,2025-12-31,18:26:35,Merry,text,main,Be my midnight buddy if I’m awake that long
WA-1165,2025-12-31T18:49:12,2025-12-31,18:49:12,Merry,media/system,main,"‎Voice call, ‎59 min"
WA-1166,2025-12-31T19:51:37,2025-12-31,19:51:37,Derek ********,media/system,main,"‎Voice call, ‎53 sec"
WA-1167,2026-01-01T17:07:45,2026-01-01,17:07:45,Merry,media/system,main,‎video note omitted
WA-1168,2026-01-01T18:23:52,2026-01-01,18:23:52,Merry,media/system,main,‎video note omitted
WA-1169,2026-01-01T18:24:07,2026-01-01,18:24:07,Merry,media/system,main,‎video note omitted
WA-1170,2026-01-01T19:56:00,2026-01-01,19:56:00,Merry,text,main,Derrekkkkk
WA-1171,2026-01-01T21:32:25,2026-01-01,21:32:25,Merry,media/system,main,‎video note omitted
WA-1172,2026-01-02T00:42:00,2026-01-02,00:42:00,Merry,media/system,main,‎video note omitted
WA-1173,2026-01-02T00:42:13,2026-01-02,00:42:13,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1174,2026-01-02T11:24:03,2026-01-02,11:24:03,Merry,media/system,main,‎video note omitted
WA-1175,2026-01-02T11:24:14,2026-01-02,11:24:14,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1176,2026-01-02T11:25:05,2026-01-02,11:25:05,Merry,media/system,main,‎video note omitted
WA-1177,2026-01-02T13:27:55,2026-01-02,13:27:55,Merry,media/system,main,‎video note omitted
WA-1178,2026-01-02T13:28:35,2026-01-02,13:28:35,Merry,media/system,main,‎video note omitted
WA-1179,2026-01-02T13:29:26,2026-01-02,13:29:26,Merry,media/system,main,‎video note omitted
WA-1180,2026-01-02T13:36:56,2026-01-02,13:36:56,Merry,media/system,main,‎video note omitted
WA-1181,2026-01-02T14:26:44,2026-01-02,14:26:44,Merry,media/system,main,‎video note omitted
WA-1182,2026-01-02T14:26:47,2026-01-02,14:26:47,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1183,2026-01-02T14:27:40,2026-01-02,14:27:40,Merry,media/system,main,‎video note omitted
WA-1184,2026-01-02T14:28:30,2026-01-02,14:28:30,Derek ********,text,main,Heyyyyo
WA-1185,2026-01-02T14:28:35,2026-01-02,14:28:35,Merry,text,main,Yooou
WA-1186,2026-01-02T14:28:40,2026-01-02,14:28:40,Merry,text,main,Hayyy
WA-1187,2026-01-02T14:28:49,2026-01-02,14:28:49,Derek ********,text,main,Lemme call you after issy
WA-1188,2026-01-02T14:28:56,2026-01-02,14:28:56,Merry,text,main,I’m just struggling to human and find you helpful
WA-1189,2026-01-02T14:28:58,2026-01-02,14:28:58,Merry,text,main,K
WA-1190,2026-01-02T14:29:12,2026-01-02,14:29:12,Derek ********,text,main,Lol.  No problem
WA-1191,2026-01-02T14:29:18,2026-01-02,14:29:18,Merry,text,main,I’m fine tho I’ll be here
WA-1192,2026-01-02T17:07:45,2026-01-02,17:07:45,Merry,text,main,https://m.starmakerstudios.com/live/share?liveid=412730454&share_type=whatsapp&user_sid=13375969113
WA-1193,2026-01-02T20:21:20,2026-01-02,20:21:20,Merry,text,main,Damn bruh
WA-1194,2026-01-02T20:21:30,2026-01-02,20:21:30,Merry,text,main,U still on the phone with izzie?
WA-1195,2026-01-02T20:21:39,2026-01-02,20:21:39,Merry,media/system,main,"‎Voice call, ‎17 min"
WA-1196,2026-01-03T05:04:51,2026-01-03,05:04:51,Merry,media/system,main,‎video note omitted
WA-1197,2026-01-03T08:25:44,2026-01-03,08:25:44,Merry,text,main,DEREK
WA-1198,2026-01-03T08:25:52,2026-01-03,08:25:52,Merry,text,main,https://www.tiktok.com/t/ZP8yW2DXL/
WA-1199,2026-01-03T08:26:02,2026-01-03,08:26:02,Merry,text,main,WTF BE CAREFUL
WA-1200,2026-01-03T11:27:32,2026-01-03,11:27:32,Merry,media/system,main,‎video note omitted
WA-1201,2026-01-03T19:57:27,2026-01-03,19:57:27,Merry,media/system,main,‎video note omitted
WA-1202,2026-01-03T20:01:33,2026-01-03,20:01:33,Merry,media/system,main,‎video note omitted
WA-1203,2026-01-03T20:01:44,2026-01-03,20:01:44,Merry,media/system,main,‎video note omitted
WA-1204,2026-01-03T20:03:41,2026-01-03,20:03:41,Merry,media/system,main,‎video note omitted
WA-1205,2026-01-03T20:35:55,2026-01-03,20:35:55,Merry,text,main,Bro I’m talking to grok wtf lol
WA-1206,2026-01-03T20:36:38,2026-01-03,20:36:38,Merry,media/system,main,"‎Voice call, ‎34 min"
WA-1207,2026-01-03T22:14:39,2026-01-03,22:14:39,Merry,media/system,main,‎video note omitted
WA-1208,2026-01-03T23:10:09,2026-01-03,23:10:09,Merry,text,main,Try and open this?
WA-1209,2026-01-03T23:10:14,2026-01-03,23:10:14,Merry,text,main,"Checkout my new app:Glitch Art Cookbook! ⏎ Created on Jan 04, 2026 using Lastapp.ai https://app.lastapp.ai/share/42b319ff-b6a9-47d3-963c-dd2db6d26d89"
WA-1210,2026-01-04T00:01:18,2026-01-04,00:01:18,Merry,text,main,Join my group chat on ChatGPT. https://chatgpt.com/gg/v/695a0224c73081a2b3244bfc8f16409c?token=w0GQkHCjBjvkeoaH9q1ibQ
WA-1211,2026-01-04T00:01:45,2026-01-04,00:01:45,Merry,text,main,Ignore that it’s for me
WA-1212,2026-01-04T06:24:55,2026-01-04,06:24:55,Merry,media/system,main,‎video note omitted
WA-1213,2026-01-04T06:25:10,2026-01-04,06:25:10,Merry,media/system,main,‎video note omitted
WA-1214,2026-01-04T14:22:11,2026-01-04,14:22:11,Merry,text,main,Join my group chat on ChatGPT. https://chatgpt.com/gg/v/695acbcadf88819a9f57f1810876896a?token=5ZCnXd2bgNxcKkE_Myi12g ⏎  ⏎ This is for me ignore it lol
WA-1215,2026-01-04T16:44:01,2026-01-04,16:44:01,Merry,media/system,main,‎video note omitted
WA-1216,2026-01-04T18:24:11,2026-01-04,18:24:11,Merry,media/system,main,‎video note omitted
WA-1217,2026-01-04T19:11:31,2026-01-04,19:11:31,Merry,text,main,https://multi-persona-chat.emergent.host/
WA-1218,2026-01-05T02:22:31,2026-01-05,02:22:31,Merry,text,main,https://www.tiktok.com/t/ZP8y35nDh/
WA-1219,2026-01-05T12:19:57,2026-01-05,12:19:57,Merry,text,main,Join my group chat on ChatGPT. https://chatgpt.com/gg/v/695c00bde3d881959793638e9aa4b0a4?token=kITNe4aZQhk7DCKKufD_HQ ⏎  ⏎ FOR ME IGNORE SOREY
WA-1220,2026-01-05T22:11:18,2026-01-05,22:11:18,Merry,text,main,Derekkkk
WA-1221,2026-01-05T22:11:32,2026-01-05,22:11:32,Merry,text,main,I really hate it here a lot when ur not around
WA-1222,2026-01-05T22:11:35,2026-01-05,22:11:35,Merry,text,main,Come around
WA-1223,2026-01-05T22:11:47,2026-01-05,22:11:47,Derek ********,text,main,No
WA-1224,2026-01-05T22:11:53,2026-01-05,22:11:53,Merry,text,main,I beg
WA-1225,2026-01-05T22:11:53,2026-01-05,22:11:53,Derek ********,text,main,😂
WA-1226,2026-01-05T22:11:56,2026-01-05,22:11:56,Derek ********,media/system,main,"‎Voice call, ‎2 hr ⏎ [1/5/26, 10:17:02 PM] Merry:"
WA-1227,2026-01-05T22:48:46,2026-01-05,22:48:46,Derek ********,text,main,https://www.tiktok.com/t/ZThR7os3U
WA-1228,2026-01-05T23:32:32,2026-01-05,23:32:32,Merry,text,main,https://multi-persona-chat.emergent.host/
WA-1229,2026-01-05T23:36:56,2026-01-05,23:36:56,Merry,text,main,https://www.tiktok.com/t/ZP8ywFB7r/
WA-1230,2026-01-06T00:23:56,2026-01-06,00:23:56,Merry,text,main,Hey can I have an URL on your server to host this with like a cool url name that actually says like collabor8.rocks or whatever
WA-1231,2026-01-06T00:24:34,2026-01-06,00:24:34,Derek ********,text,main,"Yeah, of course"
WA-1232,2026-01-06T00:24:45,2026-01-06,00:24:45,Merry,text,main,Yayyyy
WA-1233,2026-01-06T00:24:52,2026-01-06,00:24:52,Merry,text,main,Thanks
WA-1234,2026-01-06T00:25:06,2026-01-06,00:25:06,Merry,text,main,Whip tha bad boy up when u get a chance and lemme know and I’ll point it there
WA-1235,2026-01-06T04:19:51,2026-01-06,04:19:51,Merry,text,main,Brandon found my substack of all places
WA-1236,2026-01-06T04:20:05,2026-01-06,04:20:05,Merry,media/system,main,I guess he’s blocked everywhere else
WA-1237,2026-01-06T16:42:35,2026-01-06,16:42:35,Merry,media/system,main,‎video note omitted
WA-1238,2026-01-06T16:42:58,2026-01-06,16:42:58,Merry,media/system,main,‎video note omitted
WA-1239,2026-01-07T01:24:38,2026-01-07,01:24:38,Derek ********,text,main,"Greetings, gorgeous glasses goddess 🤓"
WA-1240,2026-01-07T01:24:45,2026-01-07,01:24:45,Derek ********,media/system,main,‎sticker omitted
WA-1241,2026-01-07T01:24:51,2026-01-07,01:24:51,Merry,media/system,main,‎video note omitted
WA-1242,2026-01-07T01:25:19,2026-01-07,01:25:19,Derek ********,text,main,I don't know what that is 🙈
WA-1243,2026-01-07T01:25:35,2026-01-07,01:25:35,Merry,text,main,Mostly politics and tech
WA-1244,2026-01-07T01:29:02,2026-01-07,01:29:02,Derek ********,text,main,What's with his screenname??
WA-1245,2026-01-07T01:29:11,2026-01-07,01:29:11,Merry,text,main,I dunno man
WA-1246,2026-01-07T01:29:16,2026-01-07,01:29:16,Merry,text,main,Noticed that too
WA-1247,2026-01-07T01:29:31,2026-01-07,01:29:31,Derek ********,text,main,What a freak show
WA-1248,2026-01-07T01:29:59,2026-01-07,01:29:59,Derek ********,text,main,Sorry dudette.... 🥲 You aight?
WA-1249,2026-01-07T01:31:42,2026-01-07,01:31:42,Derek ********,media/system,main,‎audio omitted
WA-1250,2026-01-07T01:41:35,2026-01-07,01:41:35,Merry,media/system,main,‎video note omitted
