id,datetime,date,time,speaker,type,source_log,text
WA-1607,2026-01-30T11:39:18,2026-01-30,11:39:18,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1608,2026-01-30T11:39:55,2026-01-30,11:39:55,Merry,text,main,You alive over there
WA-1609,2026-01-30T11:40:01,2026-01-30,11:40:01,Merry,text,main,Check in
WA-1610,2026-01-30T11:40:04,2026-01-30,11:40:04,Merry,text,main,Holla atta bitch
WA-1611,2026-01-30T11:40:27,2026-01-30,11:40:27,Merry,text,main,You know I worry about u whether u like it or not
WA-1612,2026-01-31T01:34:52,2026-01-31,01:34:52,Merry,media/system,main,‎video note omitted
WA-1613,2026-01-31T17:56:42,2026-01-31,17:56:42,Merry,text,main,WHORE
WA-1614,2026-01-31T17:56:47,2026-01-31,17:56:47,Merry,text,main,WHERE THE FUCK ARE U
WA-1615,2026-01-31T17:56:53,2026-01-31,17:56:53,Merry,text,main,ANSWER ME MOFO
WA-1616,2026-02-01T04:18:47,2026-02-01,04:18:47,Merry,text,main,Fine fuck u too
WA-1617,2026-02-01T04:18:57,2026-02-01,04:18:57,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1618,2026-02-01T04:19:47,2026-02-01,04:19:47,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1619,2026-02-01T04:20:35,2026-02-01,04:20:35,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1620,2026-02-01T04:21:31,2026-02-01,04:21:31,Merry,text,main,Ok fine. Fuck u too fo real now. I hope I at least woke you up and annoyed u
WA-1621,2026-02-01T04:21:44,2026-02-01,04:21:44,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1622,2026-02-01T04:22:37,2026-02-01,04:22:37,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1623,2026-02-01T04:23:32,2026-02-01,04:23:32,Merry,text,main,LOSER HOLLA
WA-1624,2026-02-01T18:26:28,2026-02-01,18:26:28,Merry,text,main,Hey you
WA-1625,2026-02-02T05:56:19,2026-02-02,05:56:19,Merry,text,main,You
WA-1626,2026-02-02T18:22:18,2026-02-02,18:22:18,Merry,text,main,Join my group chat on ChatGPT. https://chatgpt.com/gg/v/69813fb17eec81a192169ff7889ed961?token=VXoGWcYy00OYf0SKG8cANQ
WA-1627,2026-02-03T00:51:27,2026-02-03,00:51:27,Merry,text,main,Ive tried for days to get in touch with you
WA-1628,2026-02-03T00:51:54,2026-02-03,00:51:54,Merry,text,main,If u don’t wanna talk to me im not going to try and make u anymore it’s just damn enraging
WA-1629,2026-02-03T00:52:59,2026-02-03,00:52:59,Merry,media/system,main,‎video note omitted
WA-1630,2026-02-03T00:53:05,2026-02-03,00:53:05,Merry,text,main,If u ever care to talk to me again u know where to find me
WA-1631,2026-02-03T09:03:05,2026-02-03,09:03:05,Merry,media/system,main,"‎Voice call, ‎No answer"
WA-1632,2026-02-03T09:03:37,2026-02-03,09:03:37,Merry,text,main,Hey shithead
